PropType,nbhd,Style,Stories,Year_Built,Rooms,FinishedSqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price
Residential,820.0,Ranch,1.0,1969.0,7.0,1988.0,1,3.0,2.0,1.0,36590.0,2021-12-15,271000.0
Residential,800.0,Res O/S A & 1/2,1.5,1922.0,6.0,1347.0,1,3.0,1.0,0.0,36590.0,2021-01-13,163000.0
Residential,440.0,Colonial,2.0,1976.0,8.0,2108.0,1,4.0,1.0,1.0,36590.0,2020-07-17,245000.0
Residential,440.0,Ranch,1.0,1951.0,5.0,1829.0,1,3.0,2.0,0.0,36590.0,2020-10-30,180000.0
Residential,440.0,Colonial,2.0,1980.0,8.0,2114.0,1,4.0,2.0,1.0,36590.0,2019-10-04,243000.0
Residential,440.0,Colonial,2.0,1976.0,8.0,2261.0,1,4.0,2.0,1.0,35719.0,2020-04-10,209000.0
Lg Apartment,6974.0,AP4 (Conv Apt with 21 or more Units),3.0,1961.0,0.0,69580.0,21,1.0,0.0,0.0,35719.0,2019-06-19,4850000.0
Lg Apartment,6974.0,AP4 (Conv Apt with 21 or more Units),3.0,1961.0,0.0,69580.0,21,2.0,0.0,0.0,35719.0,2019-06-19,4850000.0
Lg Apartment,6974.0,AP4 (Conv Apt with 21 or more Units),3.0,1961.0,0.0,69580.0,21,2.0,0.0,0.0,35719.0,2019-06-19,4850000.0
Lg Apartment,6870.0,AP3 (Conventional Apt with 12-20 Units),2.0,1970.0,0.0,9287.0,12,0.0,0.0,0.0,35640.0,2021-08-13,638000.0
Residential,820.0,Ranch,1.0,1965.0,6.0,1543.0,1,3.0,1.0,1.0,35284.0,2020-08-24,282000.0
Commercial,6212.0,Strip Shopping Center,1.0,1985.0,0.0,10454.0,4,0.0,0.0,0.0,34692.0,2019-01-16,465000.0
Commercial,6460.0,Office Building - Class B,8.0,1912.0,0.0,81865.0,191,2.0,0.0,0.0,34627.0,2021-05-07,5833400.0
Commercial,6240.0,Auto & Auto Body Repair,1.0,1946.0,0.0,21100.0,3,0.0,0.0,0.0,34620.0,2019-03-21,205000.0
Lg Apartment,6870.0,AP3 (Conventional Apt with 12-20 Units),2.0,1978.0,0.0,9700.0,12,1.0,0.0,0.0,34500.0,2019-11-20,600000.0
Lg Apartment,6870.0,AP3 (Conventional Apt with 12-20 Units),2.0,1978.0,0.0,9700.0,12,2.0,0.0,0.0,34500.0,2019-11-20,600000.0
Lg Apartment,6691.0,Townhouse Apartment,2.0,1997.0,0.0,18789.0,14,2.0,0.0,0.0,34448.0,2019-05-15,0.0
Lg Apartment,6691.0,Townhouse Apartment,2.0,1997.0,0.0,18789.0,14,2.0,0.0,0.0,34448.0,2019-02-15,1100000.0
Lg Apartment,6691.0,Townhouse Apartment,2.0,1997.0,0.0,18789.0,14,3.0,0.0,0.0,34448.0,2019-05-15,0.0
Lg Apartment,6691.0,Townhouse Apartment,2.0,1997.0,0.0,18789.0,14,3.0,0.0,0.0,34448.0,2019-02-15,1100000.0
Residential,440.0,Cape Cod,1.5,1975.0,10.0,4725.0,1,4.0,2.0,1.0,34412.0,2021-01-04,425000.0
Commercial,6216.0,"Store Building - Single tenant, 1 story",1.0,1972.0,0.0,4700.0,1,0.0,0.0,0.0,34333.0,2019-11-19,69000.0
Lg Apartment,6978.0,Subsidized Apartments,8.0,1910.0,0.0,86090.0,68,1.0,0.0,0.0,34071.0,2019-02-15,4780000.0
Lg Apartment,6978.0,Subsidized Apartments,8.0,1910.0,0.0,86090.0,68,1.0,0.0,0.0,34071.0,2019-02-15,4780000.0
Lg Apartment,6978.0,Subsidized Apartments,8.0,1910.0,0.0,86090.0,68,2.0,0.0,0.0,34071.0,2019-02-15,4780000.0
Lg Apartment,6978.0,Subsidized Apartments,8.0,1910.0,0.0,86090.0,68,2.0,0.0,0.0,34071.0,2019-02-15,4780000.0
Lg Apartment,6978.0,Subsidized Apartments,8.0,1910.0,0.0,86090.0,68,1.0,0.0,0.0,34071.0,2019-02-15,4780000.0
Lg Apartment,6978.0,Subsidized Apartments,8.0,1910.0,0.0,86090.0,68,2.0,0.0,0.0,34071.0,2019-02-15,4780000.0
Lg Apartment,6978.0,Subsidized Apartments,8.0,1910.0,0.0,86090.0,68,2.0,0.0,0.0,34071.0,2019-02-15,4780000.0
Lg Apartment,6978.0,Subsidized Apartments,8.0,1910.0,0.0,86090.0,68,1.0,0.0,0.0,34071.0,2019-02-15,4780000.0
Lg Apartment,6871.0,AP3 (Conventional Apt with 12-20 Units),2.0,1972.0,0.0,15715.0,14,0.0,0.0,0.0,34032.0,2020-08-21,600000.0
Lg Apartment,6870.0,AP3 (Conventional Apt with 12-20 Units),2.0,1974.0,0.0,16482.0,14,0.0,0.0,0.0,33645.0,2020-01-24,840000.0
Residential,240.0,Unknown,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,33541.0,2021-11-08,23000.0
Residential,440.0,Colonial,2.0,1986.0,8.0,2237.0,1,4.0,3.0,1.0,33106.0,2021-04-08,341000.0
Commercial,6440.0,Sit Down Restaurant,1.0,2001.0,0.0,5062.0,1,0.0,0.0,0.0,32724.0,2020-10-23,700000.0
Residential,440.0,Ranch,1.0,1953.0,6.0,1241.0,1,3.0,1.0,1.0,32670.0,2021-09-10,265000.0
Commercial,6290.0,Warehouse Building - 1 Story,1.0,1964.0,0.0,15644.0,1,0.0,0.0,0.0,32670.0,2020-12-30,875000.0
Residential,440.0,Cape Cod,1.0,1952.0,5.0,1389.0,1,3.0,1.0,0.0,32670.0,2019-07-18,214000.0
Residential,440.0,Ranch,1.0,1956.0,5.0,1166.0,1,3.0,1.0,1.0,32670.0,2019-10-04,171500.0
Lg Apartment,6620.0,Townhouse Apartment,2.0,1966.0,0.0,17213.0,13,3.0,0.0,0.0,32340.0,2019-10-22,750000.0
Commercial,6230.0,Medical Clinic,1.0,1955.0,0.0,16244.0,6,0.0,0.0,0.0,32280.0,2020-09-09,500000.0
Residential,440.0,Cape Cod,1.0,1953.0,4.0,1846.0,1,3.0,1.0,0.0,32234.0,2019-10-25,175000.0
Residential,440.0,Ranch,1.0,1956.0,6.0,1671.0,1,3.0,1.0,1.0,32234.0,2019-01-07,183500.0
Lg Apartment,6610.0,AP2 (Conventional Apt with 7-11 Units),2.0,1978.0,0.0,8216.0,8,2.0,0.0,0.0,31720.0,2019-08-30,390000.0
Lg Apartment,6871.0,AP3 (Conventional Apt with 12-20 Units),2.0,1958.0,0.0,8608.0,12,2.0,0.0,0.0,31512.0,2019-09-20,2200000.0
Residential,240.0,Residence O/S 2sty+,2.0,1860.0,7.0,2400.0,1,4.0,2.0,0.0,31363.0,2021-05-10,341000.0
Residential,240.0,Residence O/S,2.0,1860.0,7.0,2400.0,1,4.0,1.0,1.0,31363.0,2019-05-03,177000.0
Commercial,6418.0,Svc Station w Conv and Carwash,1.0,1998.0,0.0,5556.0,2,0.0,0.0,0.0,31200.0,2021-09-20,1300000.0
Commercial,6216.0,Warehouse Building - 1 Story,1.0,1955.0,0.0,15788.0,1,0.0,0.0,0.0,30936.0,2020-06-16,160000.0
Residential,440.0,Ranch,1.0,1956.0,5.0,1756.0,1,3.0,2.0,0.0,30928.0,2020-02-14,190000.0
