proptype,district,nbhd,style,extwall,stories,year_built,rooms,finishedsqft,units,bdrms,fbath,hbath,lotsize,sale_date,sale_price,sale_year,sale_month
condominium,9.0,5073.0,condo townhouse,brick,2.0,1986.0,5.0,1152.0,1,2.0,1.0,1.0,1.0,2023-10-18,114900.0,2023.0,10.0
condominium,9.0,5080.0,condo bi/tri level,brick,1.0,1972.0,4.0,955.0,1,2.0,1.0,1.0,1.0,2023-12-19,83000.0,2023.0,12.0
condominium,9.0,5080.0,condo bi/tri level,brick,1.0,1972.0,3.0,788.0,1,1.0,1.0,0.0,1.0,2023-08-07,45000.0,2023.0,8.0
condominium,9.0,5081.0,low rise 1-3 stories,brick,1.0,1973.0,5.0,1127.0,1,2.0,2.0,0.0,1.0,2023-08-16,122000.0,2023.0,8.0
condominium,9.0,5081.0,low rise 1-3 stories,brick,1.0,1973.0,5.0,1015.0,1,2.0,1.0,1.0,1.0,2023-07-24,110000.0,2023.0,7.0
condominium,9.0,5081.0,low rise 1-3 stories,brick,1.0,1973.0,4.0,863.0,1,1.0,1.0,0.0,1.0,2023-08-23,79900.0,2023.0,8.0
condominium,9.0,5080.0,condo bi/tri level,brick,1.0,1972.0,3.0,788.0,1,1.0,1.0,0.0,1.0,2023-10-23,60000.0,2023.0,10.0
condominium,9.0,5080.0,condo bi/tri level,brick,1.0,1972.0,4.0,955.0,1,2.0,1.0,1.0,1.0,2023-11-27,101000.0,2023.0,11.0
condominium,9.0,5082.0,condo townhouse,brick,1.5,1973.0,4.0,1210.0,1,2.0,1.0,1.0,1.0,2023-03-06,110000.0,2023.0,3.0
condominium,9.0,5083.0,condo townhouse,brick,1.0,1989.0,5.0,1404.0,1,2.0,2.0,0.0,0.0,2023-08-25,160000.0,2023.0,8.0
residential,9.0,40.0,milwaukee bungalow,aluminum/vinyl,1.0,1928.0,7.0,1105.0,1,3.0,1.0,1.0,15550.0,2023-05-31,120000.0,2023.0,5.0
residential,9.0,40.0,colonial,aluminum/vinyl,2.0,2006.0,22.0,5223.0,1,8.0,4.0,1.0,36936.0,2023-05-10,500000.0,2023.0,5.0
manufacturing,9.0,6300.0,warehouse building - 1 story,concrete block,1.0,1992.0,0.0,41110.0,2,0.0,0.0,0.0,0.0,2023-11-01,3000000.0,2023.0,11.0
commercial,9.0,6202.0,trucking terminal,metal siding,1.0,2020.0,0.0,13140.0,0,0.0,0.0,0.0,0.0,2023-12-04,2750000.0,2023.0,12.0
condominium,9.0,5090.0,condo townhouse,brick,2.0,1974.0,5.0,1138.0,1,3.0,1.0,1.0,1.0,2023-03-15,95000.0,2023.0,3.0
condominium,9.0,5090.0,condo townhouse,brick,2.0,1974.0,5.0,1084.0,1,2.0,1.0,1.0,1.0,2023-07-27,145000.0,2023.0,7.0
condominium,9.0,5090.0,condo townhouse,brick,2.0,1974.0,5.0,1138.0,1,3.0,1.0,1.0,1.0,2023-09-28,115000.0,2023.0,9.0
residential,9.0,240.0,ranch,aluminum/vinyl,1.0,1990.0,5.0,1142.0,1,3.0,1.0,1.0,7624.0,2023-07-13,240000.0,2023.0,7.0
residential,9.0,240.0,ranch,aluminum/vinyl,1.0,1992.0,5.0,1143.0,1,3.0,2.0,1.0,7200.0,2023-08-25,246000.0,2023.0,8.0
residential,9.0,240.0,split level,aluminum/vinyl,1.0,1996.0,14.0,1799.0,1,8.0,2.0,0.0,7200.0,2023-02-24,300000.0,2023.0,2.0
residential,9.0,240.0,ranch,aluminum/vinyl,1.0,1990.0,5.0,1138.0,1,3.0,2.0,1.0,7349.0,2023-01-25,280000.0,2023.0,1.0
residential,9.0,240.0,colonial,aluminum/vinyl,2.0,1980.0,6.0,1445.0,1,3.0,1.0,1.0,7620.0,2023-01-11,240700.0,2023.0,1.0
residential,9.0,240.0,split level,aluminum/vinyl,1.0,1992.0,7.0,1816.0,1,4.0,2.0,0.0,7200.0,2023-08-21,270000.0,2023.0,8.0
residential,9.0,240.0,colonial,aluminum/vinyl,2.0,2000.0,7.0,1495.0,1,3.0,2.0,0.0,7687.0,2023-10-05,259900.0,2023.0,10.0
residential,9.0,240.0,ranch,aluminum/vinyl,1.0,1984.0,5.0,1077.0,1,3.0,1.0,1.0,7338.0,2023-06-12,230000.0,2023.0,6.0
residential,9.0,240.0,ranch,aluminum/vinyl,1.0,1995.0,5.0,942.0,1,3.0,1.0,0.0,8383.0,2023-08-14,229000.0,2023.0,8.0
residential,9.0,240.0,split level,aluminum/vinyl,1.0,1990.0,7.0,1751.0,1,4.0,2.0,0.0,7367.0,2023-04-14,285000.0,2023.0,4.0
residential,9.0,240.0,ranch,aluminum/vinyl,1.0,1980.0,4.0,912.0,1,2.0,1.0,0.0,7200.0,2023-12-11,189000.0,2023.0,12.0
residential,9.0,240.0,ranch,aluminum/vinyl,1.0,1980.0,5.0,1077.0,1,3.0,1.0,1.0,7200.0,2023-02-12,239000.0,2023.0,2.0
condominium,9.0,5091.0,low rise 1-3 stories,brick,2.0,1982.0,6.0,1150.0,1,3.0,1.0,1.0,1.0,2023-08-08,135000.0,2023.0,8.0
condominium,9.0,5091.0,low rise 1-3 stories,brick,2.0,1982.0,5.0,1067.0,1,3.0,1.0,1.0,1.0,2023-05-18,110000.0,2023.0,5.0
condominium,9.0,5091.0,low rise 1-3 stories,brick,1.0,1990.0,4.0,922.0,1,2.0,1.0,1.0,1.0,2023-08-28,159000.0,2023.0,8.0
condominium,9.0,5091.0,low rise 1-3 stories,brick,2.0,1982.0,4.0,1067.0,1,2.0,1.0,1.0,1.0,2023-12-12,150000.0,2023.0,12.0
condominium,9.0,5091.0,low rise 1-3 stories,brick,2.0,1982.0,0.0,1067.0,1,0.0,1.0,1.0,1.0,2023-06-29,99900.0,2023.0,6.0
condominium,9.0,5091.0,low rise 1-3 stories,brick,1.0,1986.0,5.0,981.0,1,2.0,2.0,0.0,1.0,2023-09-19,179000.0,2023.0,9.0
condominium,9.0,5091.0,low rise 1-3 stories,brick,1.0,1986.0,4.0,991.0,1,2.0,2.0,0.0,1.0,2023-03-06,117000.0,2023.0,3.0
condominium,9.0,5093.0,condo ranch,brick,1.0,1992.0,4.0,997.0,1,2.0,2.0,1.0,1.0,2023-12-21,190000.0,2023.0,12.0
residential,9.0,240.0,ranch,brick,1.0,1968.0,7.0,1796.0,1,3.0,2.0,0.0,10000.0,2023-01-17,275000.0,2023.0,1.0
residential,9.0,240.0,ranch,aluminum/vinyl,1.0,1971.0,7.0,1689.0,1,5.0,3.0,1.0,9000.0,2023-06-16,370700.0,2023.0,6.0
residential,9.0,240.0,ranch,aluminum/vinyl,1.0,1971.0,6.0,1200.0,1,4.0,1.0,1.0,9000.0,2023-06-30,215000.0,2023.0,6.0
residential,9.0,240.0,ranch,aluminum/vinyl,1.0,1969.0,6.0,1534.0,1,3.0,1.0,2.0,12865.0,2023-01-20,199900.0,2023.0,1.0
residential,9.0,240.0,ranch,aluminum/vinyl,1.0,1971.0,6.0,1200.0,1,4.0,1.0,1.0,9129.0,2023-05-26,294000.0,2023.0,5.0
