,Style,Bdrms,Baths_total,FinishedSqft,Sale_date,Year,Month,Sale_price
1232,Ranch,3,2,1155,2014-05-01,2014,5,152000
1236,Colonial,4,2,1658,2015-03-01,2015,3,179000
1238,Ranch,3,2,1155,2022-11-01,2022,11,300000
1240,Ranch,3,2,1155,2016-07-01,2016,7,165000
1241,Ranch,2,1,840,2021-09-30,2021,9,180000
1244,Split Level,4,3,2075,2017-09-01,2017,9,222000
1250,Ranch,2,1,1000,2013-09-01,2013,9,99900
1276,Ranch,3,3,2752,2018-12-01,2018,12,350000
1277,Dplx Bungalow,2,2,1672,2022-11-16,2022,11,160000
1278,Ranch,3,3,1150,2021-07-16,2021,7,255000
1279,Res O/S 1 Story,3,1,1203,2021-09-30,2021,9,215000
1280,Ranch,3,3,1280,2014-06-01,2014,6,215000
1281,Ranch,3,2,1461,2018-05-01,2018,5,225500
1286,Colonial,4,3,2028,2021-07-23,2021,7,325000
1287,Duplex O/S,4,2,1911,2016-06-01,2016,6,88000
1292,Cape Cod,4,3,1147,2018-08-01,2018,8,175000
1293,Ranch,2,2,1041,2018-08-01,2018,8,114000
1294,Tudor,3,3,2668,2015-10-01,2015,10,365000
1300,Ranch,3,2,1062,2021-02-08,2021,2,155000
1301,Cape Cod,4,2,1284,2021-09-08,2021,9,255000
1302,Ranch,3,2,1140,2020-11-30,2020,11,236000
1303,Ranch,3,2,1140,2016-05-01,2016,5,160000
1304,Ranch,3,3,1749,2022-09-16,2022,9,327000
1308,Cape Cod,3,2,1209,2014-09-01,2014,9,185000
1309,Split Level,4,2,1626,2021-08-26,2021,8,405000
1311,Ranch,3,2,1324,2015-02-01,2015,2,155000
1312,Cottage,2,1,1077,2023-07-17,2023,7,225000
1313,Cape Cod,3,2,1476,2014-08-01,2014,8,133900
1314,Cape Cod,3,2,1698,2020-09-30,2020,9,175000
1316,Ranch,3,1,1070,2014-10-01,2014,10,102000
1322,Cape Cod,4,2,1210,2021-10-15,2021,10,177900
1325,Ranch,3,2,2554,2019-10-16,2019,10,342500
1328,Ranch,3,1,1047,2021-09-14,2021,9,160000
1334,Ranch,3,1,999,2017-04-01,2017,4,123500
1337,Milwaukee Bungalow,3,1,1334,2022-01-06,2022,1,195000
1340,Cape Cod,3,2,1480,2014-03-01,2014,3,125000
1341,Cape Cod,3,2,1480,2017-06-01,2017,6,150000
1342,Ranch,3,2,1264,2022-08-03,2022,8,248000
1347,Residence O/S,3,2,1352,2013-07-01,2013,7,210000
1350,Ranch,5,2,1565,2014-12-01,2014,12,139000
1354,Cape Cod,4,2,1109,2020-04-09,2020,4,155500
1355,Cape Cod,4,2,1109,2016-12-01,2016,12,100000
1357,Cottage,2,1,788,2021-04-28,2021,4,165000
1358,Cottage,2,1,788,2020-07-01,2020,7,147400
1359,Ranch,4,1,597,2022-04-29,2022,4,113000
1361,Residence O/S,4,2,1959,2015-06-01,2015,6,237000
1363,Colonial,3,3,2524,2015-06-01,2015,6,245000
1364,Colonial,3,3,2524,2016-09-01,2016,9,254500
1367,Colonial,4,3,2025,2020-07-22,2020,7,314000
1368,Cape Cod,3,2,1373,2016-12-01,2016,12,201000
1369,Cape Cod,3,2,1229,2018-11-01,2018,11,96900
1377,Colonial,3,2,1494,2021-10-25,2021,10,189000
1382,Ranch,3,2,936,2017-11-01,2017,11,151500
1383,Ranch,3,3,1145,2021-11-30,2021,11,250000
1385,Cape Cod,3,3,2290,2023-12-06,2023,12,400000
1386,Cape Cod,3,3,1897,2018-01-01,2018,1,170000
1388,Split Level,4,2,1485,2022-12-07,2022,12,169750
1390,Colonial,4,2,1679,2022-06-16,2022,6,280000
1392,Cape Cod,4,1,1321,2020-04-22,2020,4,120000
1396,Colonial,4,2,2112,2019-06-24,2019,6,235012
1397,Duplex N/S,4,2,1623,2015-10-01,2015,10,155000
1401,Ranch,3,2,1855,2022-09-20,2022,9,420000
1402,Colonial,3,3,2515,2014-01-01,2014,1,245000
1403,Ranch,3,2,1371,2023-09-11,2023,9,325000
1405,Residence O/S,2,1,827,2017-10-01,2017,10,155000
1406,Ranch,4,3,2428,2018-03-01,2018,3,500000
1407,Colonial,3,3,2628,2022-06-28,2022,6,460000
1410,Ranch,3,2,1539,2020-09-04,2020,9,197000
1411,Ranch,3,2,1301,2022-07-15,2022,7,310000
1412,Ranch,3,2,1327,2016-11-01,2016,11,162900
1413,Ranch,3,2,1301,2017-08-01,2017,8,206000
1414,Ranch,3,2,1550,2014-06-01,2014,6,190000
1415,Colonial,3,2,1721,2023-05-31,2023,5,178000
1416,Milwaukee Bungalow,3,2,1392,2023-05-05,2023,5,80000
1417,Milwaukee Bungalow,3,2,1392,2023-09-29,2023,9,199000
1418,Duplex O/S,5,3,2598,2023-04-25,2023,4,220000
1419,Duplex O/S,5,3,2598,2022-07-20,2022,7,135000
1421,Ranch,3,1,1095,2018-06-01,2018,6,147000
1422,Ranch,3,2,1182,2020-11-19,2020,11,225000
1423,Cape Cod,2,1,1206,2018-07-01,2018,7,190000
1425,Ranch,2,1,1257,2015-06-01,2015,6,145000
1426,Res O/S A & 1/2,4,1,1686,2021-09-28,2021,9,100000
1430,Ranch,3,2,1177,2015-10-01,2015,10,124900
1431,Cape Cod,3,1,1094,2022-10-28,2022,10,222998
1441,Colonial,3,3,2174,2015-05-01,2015,5,243000
1442,Cape Cod,4,2,1554,2020-10-19,2020,10,184000
1443,Cape Cod,3,2,1060,2020-08-27,2020,8,150000
1444,Cape Cod,3,2,1982,2018-11-01,2018,11,216000
1446,Duplex N/S,4,2,2080,2013-04-01,2013,4,168000
1448,Ranch,2,2,1124,2015-11-01,2015,11,103500
1449,Ranch,3,2,1124,2015-11-01,2015,11,103500
1451,Cape Cod,2,1,1140,2020-04-08,2020,4,178000
1452,Cape Cod,2,1,1140,2013-04-01,2013,4,104900
1455,Tudor,2,3,2370,2013-10-01,2013,10,290000
1456,Triplex,3,3,2000,2015-06-01,2015,6,140000
1460,Ranch,3,3,2293,2023-09-28,2023,9,453000
1462,Colonial,4,3,2480,2021-01-15,2021,1,353500
1465,Cape Cod,3,3,1057,2022-04-21,2022,4,130000
1466,Ranch,3,2,1630,2021-11-19,2021,11,213900
1468,Ranch,2,2,1220,2017-10-01,2017,10,145000
1469,Colonial,4,3,2573,2023-07-10,2023,7,364900
1471,Colonial,4,3,1965,2017-03-01,2017,3,197500
1472,Cape Cod,3,2,1900,2020-07-15,2020,7,223000
1475,Ranch,3,2,1499,2020-11-20,2020,11,262500
1476,Ranch,3,2,1499,2014-04-01,2014,4,193000
1478,Ranch,3,1,1068,2016-10-01,2016,10,119000
1481,Ranch,3,1,1254,2013-08-01,2013,8,165500
1482,Ranch,3,1,1208,2017-07-01,2017,7,163500
1483,Res O/S A & 1/2,3,1,1054,2023-05-05,2023,5,133400
1484,Milwaukee Bungalow,3,2,1368,2018-05-01,2018,5,110000
1485,Ranch,3,1,1260,2014-12-01,2014,12,167500
1486,Ranch,3,3,2001,2023-11-30,2023,11,411000
1487,Colonial,3,3,2293,2020-10-30,2020,10,305000
1494,Cape Cod,3,2,1958,2021-08-11,2021,8,385000
1496,Cape Cod,2,1,1180,2013-12-01,2013,12,147000
1497,Ranch,3,3,2423,2022-08-16,2022,8,470000
1498,Ranch,3,3,2423,2017-01-01,2017,1,296000
1499,Ranch,3,3,1048,2022-07-20,2022,7,276000
1500,Residence O/S 2sty+,3,2,1928,2020-05-14,2020,5,113000
1502,Ranch,4,2,1740,2016-09-01,2016,9,217500
1503,Ranch,3,2,1048,2016-10-01,2016,10,114750
1507,Cape Cod,4,4,2703,2013-01-01,2013,1,347500
1508,Cape Cod,4,4,2703,2015-07-01,2015,7,335000
1509,Ranch,4,3,2050,2020-10-06,2020,10,320000
1510,Ranch,4,3,2050,2015-08-01,2015,8,230000
1512,Colonial,4,3,2740,2018-04-01,2018,4,400000
1513,Cape Cod,3,4,2496,2023-08-03,2023,8,520000
1514,Cape Cod,3,4,2496,2014-11-01,2014,11,367900
1515,Colonial,3,3,2326,2021-07-14,2021,7,380000
