Bdrms,Baths_total,FinishedSqft,Lotsize,Sale_date,Year_Built,Sale_Year,Sale_price
4,1,1228,3500,2016-09-01,1962.0,2016,119900
4,2,1380,3500,2020-10-19,1885.0,2020,126000
4,1,1336,3500,2017-09-01,1963.0,2017,127000
3,2,1236,3500,2017-09-01,1957.0,2017,128000
3,1,1267,3500,2018-08-01,1926.0,2018,135000
4,2,998,3500,2022-07-14,1953.0,2022,140000
2,1,954,3500,2015-11-01,1952.0,2015,154900
4,1,1822,3500,2022-06-24,1921.0,2022,220000
3,1,963,3500,2023-11-06,1946.0,2023,250000
4,2,998,3500,2023-08-14,1953.0,2023,278500
2,1,1016,3500,2022-06-24,1941.0,2022,286000
4,1,1741,3502,2013-06-01,1928.0,2013,170100
3,2,1221,3502,2016-06-01,1925.0,2016,241900
3,2,1221,3502,2019-11-01,1925.0,2019,258000
3,1,1200,3510,2021-05-28,1900.0,2021,85000
2,1,948,3510,2016-11-01,1937.0,2016,107000
3,1,1297,3510,2013-05-01,1927.0,2013,149000
2,1,712,3510,2023-10-05,1925.0,2023,175000
3,1,1480,3510,2022-10-03,1928.0,2022,350000
3,2,1328,3510,2021-01-05,1905.0,2021,371000
3,1,1485,3510,2023-11-30,1891.0,2023,397000
6,2,1328,3510,2022-08-12,1905.0,2022,445000
3,3,1696,3515,2022-07-01,1915.0,2022,335000
4,1,1485,3520,2018-04-01,1927.0,2018,89000
2,1,1144,3520,2016-08-01,1923.0,2016,121500
4,1,1637,3520,2013-09-01,1924.0,2013,174000
4,1,1118,3525,2023-06-09,1900.0,2023,81000
4,1,1118,3525,2023-07-24,1900.0,2023,125000
4,2,1682,3528,2022-04-18,1935.0,2022,310000
3,1,1072,3534,2023-03-27,1937.0,2023,95000
3,1,949,3540,2023-12-15,1927.0,2023,150000
2,2,1444,3540,2015-12-01,1926.0,2015,174900
4,2,1458,3540,2020-10-24,1928.0,2020,215500
2,2,1118,3540,2015-08-01,1938.0,2015,218000
2,1,880,3540,2022-04-20,1926.0,2022,220000
2,2,1118,3540,2019-07-19,1938.0,2019,236000
2,1,899,3540,2022-06-02,1926.0,2022,250000
6,2,1402,3540,2022-03-01,1888.0,2022,250900
4,2,1125,3540,2023-10-17,1953.0,2023,315000
3,2,1580,3540,2022-10-05,1925.0,2022,430000
4,2,1897,3549,2023-05-09,1927.0,2023,100000
3,1,1086,3552,2021-08-02,1919.0,2021,87000
2,1,1299,3560,2014-05-01,1941.0,2014,92500
5,2,1907,3560,2022-06-16,1916.0,2022,315000
3,1,1008,3564,2022-10-21,1920.0,2022,95000
3,1,1138,3564,2022-03-22,1925.0,2022,103000
4,1,1494,3564,2020-11-09,1926.0,2020,125000
3,1,995,3570,2016-11-01,1924.0,2016,86000
6,2,1548,3570,2023-02-02,1899.0,2023,105000
3,2,1416,3570,2020-11-25,1906.0,2020,140000
3,1,1456,3570,2022-05-11,1907.0,2022,145000
4,1,1403,3570,2022-07-19,1907.0,2022,151000
4,1,1288,3570,2020-09-25,1925.0,2020,185000
3,2,1144,3570,2020-08-18,1928.0,2020,186000
3,1,995,3570,2022-09-19,1924.0,2022,189000
6,2,1144,3570,2022-01-22,1928.0,2022,196900
3,2,1625,3572,2018-11-01,1927.0,2018,127500
3,2,1478,3582,2020-08-25,1905.0,2020,146000
4,1,1364,3582,2023-08-29,1913.0,2023,160000
4,2,1566,3582,2022-05-18,1909.0,2022,175000
3,2,1478,3582,2023-08-04,1905.0,2023,190000
3,1,1670,3588,2013-04-01,1924.0,2013,139000
3,1,1077,3597,2023-11-13,1924.0,2023,180000
3,1,936,3597,2021-04-15,1925.0,2021,180000
4,1,1476,3600,2023-06-22,1930.0,2023,80000
4,1,1070,3600,2021-11-15,1951.0,2021,80000
3,2,1090,3600,2021-12-30,1928.0,2021,80000
3,2,1552,3600,2019-03-25,1924.0,2019,80000
2,1,1034,3600,2023-09-06,1941.0,2023,80000
2,1,924,3600,2018-04-01,1944.0,2018,80000
3,1,1110,3600,2016-09-01,1926.0,2016,81000
3,1,1295,3600,2023-12-19,1920.0,2023,84000
3,2,1152,3600,2020-10-19,2006.0,2020,84500
3,1,1152,3600,2020-02-04,2004.0,2020,84900
4,2,2014,3600,2023-11-30,1912.0,2023,85000
4,1,1489,3600,2021-07-13,1930.0,2021,85000
4,2,1662,3600,2013-06-01,1913.0,2013,85000
3,2,1522,3600,2021-03-09,1927.0,2021,85000
3,1,1208,3600,2021-04-21,1914.0,2021,85000
3,2,924,3600,2021-09-08,1906.0,2021,85000
3,1,1122,3600,2013-07-01,1925.0,2013,86000
3,1,1123,3600,2015-05-01,1924.0,2015,86000
3,2,1513,3600,2023-10-16,1927.0,2023,87000
3,1,1211,3600,2022-05-02,1900.0,2022,87500
4,1,1210,3600,2023-04-26,1910.0,2023,88000
3,1,1039,3600,2022-07-21,1928.0,2022,88000
3,1,906,3600,2020-09-24,1923.0,2020,88000
4,1,1588,3600,2021-09-28,1927.0,2021,88500
4,2,1483,3600,2022-02-07,1927.0,2022,90000
4,2,1723,3600,2020-11-09,1911.0,2020,90000
4,2,1361,3600,2015-04-01,1955.0,2015,90000
